Source,MT,MTPE,MQMScore,LLM_MQM_gemba_mqm,LLM_MQM_ea_prompt
Why does this not work?,왜 이게 안 되는 거죠?,왜 이게 작동하지 않을까요?,99,74.0,98.0
"Oh, because we forgot to select the other for this.","아, 이걸 위해 다른 걸 선택하는 걸 잊었네요.",다른 Vertices를 선택하지 않아서 그렇군요.,95,75.0,88.0
Still does not work.,그래도 여전히 안 되네요.,여전히 작동하지 않습니다.,99,74.0,88.0
This has to be figured out.,이건 해결해야 해요.,이건 해결해야 합니다.,99,99.0,98.0
"Well, actually, I want to see why.","음, 사실 왜 그런지 보고 싶어요.","음, 사실 그 이유를 알고 싶습니다.",99,94.0,88.0
That's odd.,그건 이상하네요.,이건 이상하네요.,95,99.0,98.0
"Whatever, moving on, we can just manually...","뭐 어쨌든, 넘어가서 우리는 그냥 수동으로...",수동으로 할게요,99,74.0,88.0
The investigation was as fast as...,조사는... 만큼 빨랐어요.,조사를 좀 대충 했죠?,70,75.0,90.0
"I know, it's not joined yet.","알아요, 아직 합쳐지지 않았어요.","아, 알았습니다. 아직 합쳐지지 않았어요.",75,99.0,98.0
I'm stupid.,내가 바보 같아요.,저는 바보예요.,94,70.0,88.0
"We press the finger, the palm, and we join.",우리는 손가락과 손바닥을 누르고 조인해요.,손가락과 손바닥을 누르고 Join 합니다.,98,98.0,96.0
Now it should work.,이제 잘 될 거예요.,이제 잘 작동할 겁니다.,99,98.0,96.0
"Now that we have this, what's next?","이걸 얻었으니, 다음은 뭐죠?","이제 이걸 가지고, 다음은 무엇인가요?",90,99.0,88.0
"Well, you can see actually that this is smooth, but this is not.","음, 실제로 이건 부드럽지만, 이건 그렇지 않다는 걸 보실 수 있어요.","손가락은 부드럽지만, 손바닥쪽은 그렇지 않습니다.",94,99.0,98.0
You can fix this by just basically just doing the Shade Smooth.,이건 기본적으로 Shade Smooth를 해주면 고칠 수 있어요.,이건 Shade Smooth로 고칠 수 있습니다.,99,99.0,88.0
"And, yep, it's fixed.","네, 이제 고쳐졌어요.","네, 고쳐졌습니다.",99,99.0,98.0
"Right click, click Shade Smooth, and it's fixed.","오른쪽 클릭하고 Shade Smooth를 클릭하면, 이제 고쳐졌어요.","우클릭을 하고 Shade Smooth를 클릭하면, 고쳐집니다.",99,94.0,88.0
Let's try this.,한번 해봅시다.,이걸 한번 해봅시다.,100,75.0,90.0
"That's very, how do you say this...","그건 정말, 어떻게 말해야 하나요...",뭐라고 해야 할까요...,95,99.0,98.0
Alien-looking hand.,외계인 같은 손이에요.,외계인 같은 손입니다.,99,99.0,98.0
That's a very alien-looking hand.,그건 정말 외계인 같은 손이에요.,정말 외계인 같은 손이네요.,95,99.0,98.0
"But still, you do what you do, and maybe this finger is a little bit too thin. So maybe we can expand this. You can use it by using Inflate.","하지만 여전히, 여러분이 하는 대로 하세요. 아마 이 손가락은 조금 너무 마를 수도 있어요. 그래서 아마 이걸 확장할 수 있을 거예요. Inflate를 사용해서 쓸 수 있어요.",되는 대로 하는 겁니다. 손가락이 너무 말라서 손가락의 중앙을 확장해야 할 것 같은데 Inflate를 사용하면 됩니다.,69,93.0,78.0
Then use this to kind of move it a bit.,그럼 이걸 사용해서 조금 이동시켜 보세요.,그럼 이걸 사용해서 조금 이동시켜 보세요.,100,100.0,100.0
"But now when you try to move this finger, it also moves the other fingers, which is you don't want because let's say you just want to adjust this finger, and this other finger also moves.","하지만 이제 이 손가락을 움직이려고 하면 다른 손가락들도 함께 움직여요. 이건 원하지 않을 거예요. 예를 들어, 이 손가락만 조정하고 싶다고 하면, 다른 손가락도 같이 움직이니까요.","이 손가락을 이동하려고 하면 다른 손가락들도 함께 움직입니다. 이건 원하지 않는 상황이죠. 가령, 조정하려는 건 이 손가락 뿐인데 다른 것도 같이 움직이는 거죠.",95,97.0,94.0
It's a bit annoying.,조금 귀찮네요.,조금 짜증 납니다.,95,74.0,90.0
"What you can do is actually select the finger, select them.","할 수 있는 건 사실 손가락을 선택하고, 그걸 선택하는 거예요.",손가락을 선택하고 이것들을 선택하는 것입니다.,99,74.0,88.0
"Select preferably… Preferably in this Face Mode, which we haven't…","가급적 선택하세요… 가급적 이 Face 모드에서, 우리가 아직…",가능하면 Face Mode에서 선택하세요.,95,69.0,86.0
"If you look here, there's different kinds of modes, that you can select.","여기 보시면, 선택할 수 있는 다양한 모드들이 있어요.",여기 보면 선택할 수 있는 다양한 모드가 있습니다.,99,98.0,96.0
"You can select by vertices, by edges and by faces.","정점, 가장자리, 그리고 면으로 선택할 수 있어요.","Vertices, 가장자리, 그리고 Face 모드가 있습니다.",98,94.0,88.0
"So for this, we will select by faces, and we are going to select a finger.","그래서 이걸 위해 우리는 면으로 선택할 거고, 손가락을 선택할 거예요.",그래서 이 경우에는 Faces를 선택하고 손가락을 선택할 것입니다.,98,94.0,88.0
So you just box them in.,그래서 그냥 박스 안에 넣으면 돼요.,그래서 그냥 박스 안에 넣으면 됩니다.,99,99.0,98.0
"We go to Scope Mode, and then we try to go to, what does it call?","우리는 Scope 모드로 가서, 그 다음에 뭐라고 하죠?","Scope Mode로 가서, 그다음에 뭐라고 부르죠?",99,99.0,88.0
Mask by Edit Mode.,에디트 모드로 Mask를 해요.,Mask by Edit mode를 치세요.,99,74.0,88.0
Edit mode.,편집 모드예요.,Edit Mode입니다.,99,99.0,98.0
"Selection, we're just going to look for it. Here, Mask, Face Sets. Yeah. There. Faces from… There's Face Set from Edit Mode Selection.","Selection, 우리는 그걸 찾아볼 거예요. 여기, Mask, Face Sets예요. 네. 저기, Faces에서… 에디트 모드 선택에서 Face Set이 있어요.","어딨는지 찾아봅시다. Mask, 아니 Face Sets를 누르고 Face Sets from Edit Mode Selection.",68,47.0,76.0
"And when you press this and you go back to your Solid mode… You go back to the Solid mode, it should look in a different color, and that's the face set.","그리고 이걸 누르고 Solid 모드로 돌아가면… Solid 모드로 돌아가면 다른 색감으로 보여야 하고, 그게 바로 면 세트예요.",그리고 이걸 누르고 Solid mode로 돌아가면 Solid mode로 돌아가면 다른 색으로 나타날 것이고 그게 Face Set입니다.,93,98.0,88.0
So we'll do this in all the fingers.,그래서 모든 손가락에서 이걸 할 거예요.,그래서 우리는 모든 손가락에 이 작업을 수행할 것입니다.,99,99.0,88.0
We should have done this earlier.,우리는 이걸 좀 더 일찍 했어야 했어요.,이걸 더 일찍 해야 했습니다.,99,99.0,98.0
"And if you're wondering, you can make things in a hot key in Blender by pressing this and add you know?","그리고 궁금하신 분들을 위해, 블렌더에서 이걸 눌러서 단축키로 작업할 수 있어요. 아시죠?","궁금하신 분들을 위해 말씀드리자면, Blender에서 원하는 기능을 누르고 핫키를 사용하여 작업을 추가할 수 있습니다.",73,74.0,88.0
"Not Remove from Quick Favorites. Click this, Add to Quick Favorites.",빠른 즐겨찾기에서 제거하지 마세요. 이걸 클릭해서 빠른 즐겨찾기에 추가하세요.,이미 핫키 설정이 되어 있어서 Remove지만 일단 제거해 볼까요?,99,75.0,80.0
"So to access your Quick Favorites, you just press Q, and here it is.","그래서 빠른 즐겨찾기에 접근하려면 Q를 누르면 되고, 여기 있어요.",Add to Quick Favorites를 누르고 Quick Favorites를 보시려면 Q를 누르세요.,74,99.0,88.0
So select this.,그래서 이걸 선택하세요.,그래서 이걸 선택하세요.,100,100.0,100.0
Select this other one.,이 다른 것도 선택하세요.,이 다른 것도 선택하세요.,100,100.0,100.0
"So now is that we have to tell Blender that we should use this face sets, right?","그래서 이제 블렌더에게 이 면 세트를 사용해야 한다고 알려야 하는 거죠, 맞죠?",그래서 이제 Blender에게 이 face sets를 사용해야 한다고 알려야 하죠?,98,98.0,96.0
Here it is.,여기 있어요.,여기 있습니다.,99,99.0,98.0
"Wait, where's auto masking.","잠깐만요, 자동 마스킹은 어디에 있죠?",Auto Masking인데요?,99,98.0,98.0
Yeah. It is here.,네. 여기 있어요.,"네, 여기 있습니다.",99,99.0,98.0
Yeah. It's located here on the top.,네. 위쪽에 여기 위치해 있어요.,Topology는 위쪽에 자리 잡고 있습니다.,98,98.0,98.0
"Honestly, very surprised as well how I couldn't find it in, whatever.","솔직히, 제가 그걸 못 찾은 게 너무 놀라워요. 뭐 어쨌든.",제가 못 찾은 거에 스스로 놀라운데요.,95,99.0,88.0
I guess that is just to showcase how useful this quick favorite thing are.,이건 이 빠른 즐겨찾기 기능이 얼마나 유용한지를 보여주기 위한 것 같아요.,이 Quick Favorites 기능이 얼마나 유용한지를 보여드리고 싶었습니다.,74,99.0,88.0
"How we press Q, we just click Face Sets and then boom! We can edit this without worrying about changing this.","Q를 누르고, Face Sets를 클릭하면, 짠! 이걸 편집하기가 가능해져요. 이걸 변경하는 걱정 없이 말이죠.","Q를 누르고 Face Sets를 클릭하면, 짠! 이걸 편집하기 위해서 이걸 변경하는 것을 걱정할 필요가 없습니다.",100,98.0,88.0
But it looks wrong.,하지만 이건 잘못 보이네요.,뭔가 잘못된 것 같습니다.,74,74.0,88.0
"Something is wrong, but we can't really put our finger on it.","뭔가 잘못됐지만, 정확히 무엇인지 알 수는 없어요.","뭔가 잘못되었지만, 정확히 무엇인지 파악이 안 되네요.",95,99.0,98.0
"So, well, first thing is wrong.","그래서, 음, 첫 번째로 잘못된 게 있어요.",첫 번째로 잘못된 점이 있습니다.,99,99.0,98.0
There's a lot of things that we can fix about this.,여기에 대해 우리가 고칠 수 있는 것들이 많아요.,이 손은 고칠 점들이 많습니다.,99,99.0,98.0
"But, honestly, first, we should just start by trying to find out how should we add this thumb.","하지만 솔직히 말해서, 먼저 이 엄지를 어떻게 추가해야 할지 찾아보는 게 좋겠어요.","하지만 솔직히 말해서, 먼저 이 엄지를 어떻게 추가해야 할지 알아보는 것부터 시작해야 합니다.",94,99.0,88.0
"Before we do anything, let's try to find a way to add this thumb.","무언가 하기에 앞서, 이 엄지를 추가할 방법을 찾아보죠.","다른 걸 하기 전에, 이 엄지를 추가할 방법을 찾아봅시다.",99,99.0,98.0
Remember our thing about unnecessary adjusters?,불필요한 조정자에 대한 우리의 이야기를 기억하나요?,불필요한 수정에 관해 얘기 했던 것을 기억하시나요?,94,74.0,88.0
"This is most likely, this is one of the reasons why.","이건 아마도, 그 이유 중 하나일 거예요.",이게 아마도 그 이유 중 하나일 것입니다.,94,99.0,98.0
"So what I'm actually going to do is I'm just going to merge these because they don't provide other..., they don't really provide much more data apart from defining our gaps. So I'm just gonna delete most of them.",그래서 제가 실제로 하려는 건 이걸 병합하는 거예요. 왜냐하면 이들은 다른 정보를 제공하지 않거든요... 간격을 정의하는 것 외에는 정말로 많은 정보를 제공하지 않아요. 그래서 저는 대부분을 삭제할 거예요.,이것들을 Merge 해 보겠습니다. 간격을 정의하는 것 외에는 별다른 데이터를 제공하지 않기 때문에 저는 대부분을 삭제할 것입니다.,93,93.0,86.0
Then move them closer so that… Move them closer to the edge.,그다음에 그들을 더 가까이 옮겨서… 가장자리에 더 가까이 옮겨요.,그리고 가장자리로 더 가까이 이동시킵니다.,89,74.0,88.0
Did we preserve our this part where it kind of tapers to the side.,우리가 이 부위를 보존했나요? 여기서 측면으로 점점 가늘어지는 부분이요.,끝으로 갈수록 가늘어지는 부분을 유지했나요?,90,75.0,88.0
"No, so, we'll go right on that because you remember we have this idea that we noticed.","아니요, 그래서 그 부분에 바로 가야 해요. 우리가 주목했던 아이디어가 있었잖아요.","아니요, 그래서 그 부분을 바로 수정할 것입니다. 우리가 주목했던 아이디어가 있었던 것을 기억하시죠?",75,74.0,88.0
"So, we'll be trying to preserve that.","그래서, 우리는 그걸 보존하려고 할 거예요.",유지해 보도록 합시다.,99,74.0,88.0
Next is how do we merge these?,다음은 이걸 어떻게 병합하죠?,다음은 이걸 병합하는 방법입니다.,75,99.0,98.0
"Let's just try a very naive approach, making a hole like this, and then click the face, and then make the face disappear.","아주 단순한 방법을 시도해 보죠. 이렇게 구멍을 만들고, 그 다음 면을 클릭한 다음 면을 사라지게 해요.","아주 단순한 방법을 시도해 봅시다. 이렇게 구멍을 만든 다음, Face를 클릭하고 면을 사라지게 만듭니다.",98,98.0,88.0
"And just like the other fingers, we just join it.","그리고 다른 손가락들과 마찬가지로, 우리는 그냥 합치면 돼요.","그리고 다른 손가락들처럼, 그냥 합칩니다.",95,99.0,88.0
And connect the edges connect the hole to the other hole.,그리고 구멍의 가장자리를 다른 구멍과 연결해요.,그리고 구멍을 다른 구멍에 연결하기 위해 가장자리를 연결합니다.,74,74.0,88.0
And see what it looks like.,그리고 어떻게 보이는지 봐요.,그리고 확인해 봅시다.,94,99.0,88.0
This and then Bridge Edge Loops.,이거와 그 다음에 Bridge Edge Loops예요.,다음은 Bridge Edge Loops입니다.,99,74.0,88.0
"Wow, that looks...","와, 그거 정말...",이게 뭐죠?,95,75.0,90.0
"That's something! So, we just adjust it.",그건 뭔가네요! 그래서 우리는 그냥 조정해요.,조정해 봅시다.,74,98.0,88.0
This is so small on this side.,이쪽은 정말 작네요.,이쪽이 너무 작습니다.,99,94.0,98.0
"So with this, I don't really have much now to do.","그래서 이걸로, 이제 할 게 별로 없어요.",이제 할 일이 별로 없습니다.,99,99.0,98.0
Just refining because we have our main objectives.,"주요 오브젝트가 있으니, 그냥 다듬고 있는 거예요.",주 오브젝트가 있으니 조금 다듬기만 하면 됩니다.,74,74.0,88.0
"And if you have more ideas that you want to represent, then, you use more topology in order to represent them.","그리고 표현하고 싶은 아이디어가 더 있다면, 그걸 표현하기 위해 더 많은 토폴로지를 사용하면 돼요.","표현하고 싶은 아이디어가 더 있다면, Topology를 사용해 표현하세요.",99,98.0,86.0
Same way of how we made the decision to make these things.,이런 것들을 만들기로 결정한 방식과 같은 거예요.,이것들을 만들기로 결정한 것과 같은 방식입니다.,99,99.0,88.0
"""Oh, yeah. I want a gap, so I made ""a sort of topology."" And why do I say it like that?","""오, 맞아. 나는 간격이 필요해서 '일종의 토폴로지'를 만들었어."" 왜 이렇게 말하냐면요?","간격을 원했으니, Topology를 만들었습니다. 이 말을 왜 했냐고요?",98,94.0,88.0
There's going to be this thing around topology where you should only use quads.,토폴로지 주변에는 사각형만 사용해야 한다는 이런 규칙이 있을 거예요.,Topology에는 사각형만 사용하는 것이 좋다는 말이 있습니다.,74,74.0,88.0
"And by quads, what they mean is that these squares right here, you should only use quads because and for context, this is a tri, right here because, it's a triangle.","그리고 사각형이라고 할 때, 이 사각형들을 의미하는 거예요. 여기서는 사각형만 사용해야 해요. 그리고 맥락을 위해, 여기 있는 건 삼각형이니까, 이건 삼각형이죠.",사각형이란 여기 있는 이 사각형을 의미합니다. 쿼드만 사용해야 하는 이유는… 여기 있는 것은 삼각형이고요.,74,74.0,88.0
"But the main decisions that you should be doing around these, use only use squads or only use tries.",하지만 이와 관련된 주요 결정은 오직 사각형만 사용하거나 오직 삼각형만 사용하는 거예요.,이와 관련된 주요 결정은 사각형만 사용하거나 삼각형만 사용하는 것입니다.,99,74.0,88.0
"As best you can try to use squads. But, if you can use tries to help you define things better, then you should be using them.","가능한 한 사각형을 사용해 보세요. 하지만, 만약 삼각형을 사용해서 더 잘 정의할 수 있다면, 그걸 사용해야 해요.","가능한 한 사각형을 사용하지만 하지만, 만약 삼각형을 사용하여 사물을 더 잘 정의할 수 있다면, 삼각형을 사용해야 합니다.",94,49.0,78.0
And that is the only purpose of mesh topology anyways.,그리고 그게 바로 메시 토폴로지의 유일한 목적이에요.,그리고 그게 Mesh Topology의 유일한 목적입니다.,98,98.0,96.0
"It's to define things, define ideas.","그건 사물을 정의하고, 아이디어를 정의하기 위한 거예요.","사물을 정의하고, 아이디어를 정의하기 위한 것입니다.",99,99.0,98.0
What are these kind of ideas trying to represent actually when we use this?,"이걸 사용할 때, 이런 종류의 아이디어가 실제로 무엇을 나타내려고 하는 건가요?","이걸 사용할 때, 이러한 아이디어들은 실제로 무엇을 나타내려고 하는 건가요?",95,99.0,98.0
"Well, first, it's trying to define shape.","음, 첫째로, 형태를 정의하려고 하는 거예요.",첫 번째는 형태를 정의하는 것입니다.,99,99.0,88.0
"Next, it's trying to define separation.","다음으로, 분리를 정의하려고 하는 거예요.","다음으로, 분리를 정의하려고 합니다.",99,99.0,98.0
"Next that it's trying to define smoothness, which is also something it's trying to define, but we'll… Do we go through that now?","다음으로 부드러움을 정의하려고 하는데, 이것도 정의하려는 것이지만, 우리는… 지금 그걸 진행하나요?","다음으로, 부드러움을 정의하려고 하는데 부드러움도 그중 하나인데 지금 그걸 진행할까요?",70,74.0,88.0
"No, we'll go through that the same way.","아니요, 우리는 그걸 같은 방식으로 진행할 거예요.","대신에, 우리가 진행할 방식은...",100,99.0,88.0
"Actually, we'll go through some of the concept of smoothness right now.","사실, 지금 부드러움의 개념 중 일부를 진행할 거예요.",부드러움의 콘셉트를 몇 가지 살펴볼 것입니다.,93,74.0,88.0
"So when you see this, this actually only mostly applies to subdivision for now.","그래서 이걸 보시면, 사실 지금은 주로 서브디비전에만 적용된다는 거예요.","보시면, 현재로서는 주로 subdivision에만 적용됩니다.",98,99.0,88.0
"But this also applies to normal, which we will talk about later.","하지만 이건 노말에도 적용되며, 우리는 나중에 이에 대해 이야기할 거예요.",하지만 이것은 Normal에도 적용되며 나중에 다뤄보겠습니다.,98,94.0,88.0
